modul,price,score
  15.6    Nitro 5 AN515-46-R7LV-R7 16GB 1SSD RTX3070ti,73625000,
  15.6    Nitro 5 AN515-58-93B7 i9 16GB 512SSD,66200000,
  15.6    Nitro 5 AN515-46-R9B7-R7 16GB 512SSD RTX3060,61201000,
  15.6    Nitro 5 AN515-58-74TW-i7 32GB 1SSD RTX 3060 -  ,58699000,
  15.6    Nitro 5 AN515-58-70ZU-i7 16GB 512SSD RTX3060,58000000,
  15.6    Nitro 5 AN515-58-74TW-i7 16GB 1SSD RTX 3060 -  ,56300000,
  15.6    Nitro 5 AN515-58-74TW,55499000,
  16    Predator TRITON 300 SE PT316-51s-70SL-i7 8GB 512SSD 3050Ti,54500000,
  15.6    Nitro 5 AN515-58-72ZK,51840000,1
  15.6    Nitro 5 AN515-58-754D-i7 32GB 1SSD RTX3050 -  ,51099000,2.3
  15.6    Nitro 5 AN515-45-R1ZU-R5 16GB 512SSD RTX3050 -  ,49900000,
  15.6    Nitro 5 AN515-58-73WQ,49900000,4
  15.6    Nitro 5 AN515-58-754D-i7 16GB 1SSD RTX3050 -  ,48800000,4
  15.6    Nitro 5 AN515-45-R56R-R7 8GB 512SSD RTX3050,47975000,
  15.6    Nitro 5 AN515-57-76ua,47950000,5
  15.6    Nitro 5 AN515-58-754D,47650000,5
  15.6    Nitro 5 AN515-45-R56R-R7 24GB 512SSD RTX3050 -  ,45000000,
  17.3    Nitro 5 AN517-55-57WA,43380000,
  15.6    Aspire 7 A715-51G-754E-i7 16GB 1SSD RTX 3050 -  ,43199000,
  15.6    Aspire 7 A715-51G-754E,41700000,
  15.6    Nitro 5 AN515-45-R1ZU-R5 8GB 256SSD RTX3050,41664000,
  15.6    Aspire A515-58GM-73VQ-i7 8GB 512SSD RTX2050,41590000,
  15.6    Aspire 7 A715-51G-580P-i5 16GB 1SSD RTX 3050 -  ,38399000,4
  15.6    Aspire 7 A715-51G-580P-i5 16GB 512SSD RTX 3050 -  ,36599000,
  15.6    Aspire A515-58GM-i5 8GB 512SSD RTX2050 -  ,35790000,
  15.6    Aspire 7 A715-51G-580P,35500000,5
  15.6    Aspire 5 A515-57G-51RC,34900000,
  15.6    Aspire A515-58GM-i5 8GB 256SSD RTX 2050,34900000,
  15.6    Aspire 7 A715-42G-R2YB - R5 16GB 512SSD GTX1650 -  ,33260000,5
  15.6    Aspire A315-23-R3PE-R5 20GB 1HDD 512SSD VEGA 8 -  ,30400000,4.3
  15.6    Aspire 5 A515-57G-57YP-AA -  ,30300000,4
  15.6    Aspire 5 A515-57G-57YP-A -  ,29500000,
  15.6    Aspire A315-23-R3PE-R5 12GB 1HDD 128SSD VEGA 8 -  ,29200000,
  15.6    A315-24P-R1RD - R5 8GB 512SSD Radeon -  ,28900000,
  15.6    Aspire 5 A515-57G-57YP,28570000,3.8
  15.6    Aspire 3 A315-58G-72KY-i7 8GB 1HDD 256SSD MX350,28490000,
  15.6    Aspire A315-23-R3PE-R5 8GB 1HDD 128SSD VEGA 8 -  ,28450000,
  15.6    Aspire A315-23-R3PE-R5 20GB 1HDD 1SSD VEGA 8 -  ,26500000,3.5
  15.6    Aspire A315-23-R3PE-R5 12GB 1HDD 512SSD VEGA 8 -  ,23968500,4.5
  15.6    A315-24P-R1RD - R5 8GB 1SSD Radeon -  ,23920000,
  15.6    Aspire 3 A315-58G-30KZ-i3 20GB 1HDD 1SSD MX350 - ,22600000,
  15.6    A315-24P-R1RD - R5 8GB 256SSD Radeon -  ,22320000,
  15.6    Aspire 3 A315-58G-30KZ-i3 20GB 1HDD 512SSD MX350 - ,21960000,
  15.6    Aspire 3 A315-58G-35GH-i3 12GB 512SSD MX350 -  ,21590000,
  15.6    Aspire A315-23-R3PE-R5 12GB 1HDD 256SSD VEGA 8 -  ,21500000,4.5
  15.6    Aspire A315-23-R3PE-R5 8GB 1HDD VEGA 8 -  ,20559000,
  15.6    Aspire A315-23-R3PE,19694000,4
  15.6    Aspire 3 A315-58G-30KZ-i3 12GB 1HDD 256SSD MX350 - ,,4.4
