modul,price,score
16.2    MacBook Pro MNWE3 2023,189900000,
16.2    MacBook Pro MNWA3 2023,176990000,5
14.2     MacBook Pro MPHG3 2023,169700000,
  13.3    MacBook Pro MNEW3 -  ,124034480,
14.2     MacBook Pro MPHJ3 2023,122990000,
16.2    MacBook Pro MNW93 2023,122990000,
16.2    MacBook Pro MNWD3 2023,122900000,
16.2    MacBook Pro MNWC3 2023,113900000,
16.2    MacBook Pro MNW83 2023,112990000,
14.2     MacBook Pro MPHH3 2023,100900000,
14.2     MacBook Pro MPHE3 2023,100890000,
16.2    MacBook Pro MK193 2021,99990000,4.3
14.2    MacBook MKGQ3 M1 Pro 2021,93990000,
16.2    MacBook Pro Mk183 2021,92390000,4.7
13.3    Macbook Pro MNEQ3  LLA 2022,71990000,
13.3    MacBook Pro M2 MNEJ3 2022,71990000,4.8
13.6    MacBook Air-MLY03 M2  LLA 2022,71990000,5
13.6    MacBook Air-MLY43 M2  LLA 2022,71990000,
13.6    MacBook Air-MLXX3 M2  LLA 2022,71990000,5
13.3    MacBook Pro M2 MNEJ3  LLA 2022,71790000,4.7
13.3    MacBook Pro MNEQ3 2022,71290000,5
13.6    MacBook Air-A M2 2022,70900000,4
13.3    Macbook Pro MNEH3  LLA 2022,60780000,4
13.3    MacBook Pro MNEH3 2022,61290000,5
13.3    Macbook Pro MNEP3  LLA 2022,61190000,
13.3    Macbook pro MNEP3 2022,60990000,4.1
13.6    MacBook Air-MLY33 M2  LLA 2022,56450000,4.2
13.6    MacBook Air-MLY13 M2  LLA 2022,55990000,4
13.6    MacBook Air-B M2 2022,55990000,4.1
13.6    MacBook Air-MLXW3 M2  LLA 2022,55800000,4.5
13.3    MacBook Air MGN63  LLA 2020,43990000,4.4
13    MacBook Air MGN93 2020,43390000,4.4
13.3    MacBook Air MGN63 2020,42990000,
13.3    MacBook Air MGN63  ZPA 2020,42799000,
13    MacBook Air MGND3 2020,42750000,4.6
