modul,price,score
  17.3    ROG Strix Scar 17 G733PY-LL050-R9 32GB 1SSD RTX4090,203000000,
  17.3    ROG Strix Scar 17 G733ZS-LL009W,179900000,
  15.6    ROG Strix SCAR 15 G533ZX-LN063W,169500000,
  18    ROG Strix G18 G814JI-N6085-i9 16GB 1SSD RTX4070,131999000,
  16    ROG Strix G16 G614JI-AS94-i9 16GB 1SSD RTX4070,128990000,
  16    ROG Zephyrus GU603ZW-LS009W,125999000,
  16    ROG Flow X16 GV601VI-NL022-i9 16GB 1SSD RTX4070,121299000,
  15.6    ROG Strix Scar 15 G533ZW-LN060,115500000,
  16    ROG Zephyrus GU604VI-N4108-i9 32GB 1SSD RTX4070,115000000,
  14.5    ZenBook Pro Duo 14 UX8402ZE-M3026W,110000000,
  14.5    ZenBook Pro Duo 14 UX8402ZE-M3026W-i7 16GB 1SSD RTX3050Ti,101000000,
  17.3    ROG Strix G17 G713RW-KH175,94650000,4
  15.6    TUF Gaming FX507ZR-HQ033,94500000,3.7
  15.6    TUF Gaming F15 FX507ZR-AA,93650000,5
  13.4    ROG Flow Z13 GZ301ZE-LD183W,93000000,5
  15.6    ROG Strix SCAR 15 G533ZM-LN038,91300000,5
  13.4    ROG Flow X13 GV301RE-LJ066,86990000,
  17.3    ROG Strix G17 G713RM-KH071-R9 32GB 2SSD RTX 3060 -  ,82500000,
  17.3    ROG Strix G17 G713RW-KH109,82500000,4.5
  16    ROG Strix G16 G614JV-AS73,80800000,
  17.3    ROG Strix SCAR 17 G733ZM-KH019,80800000,
  15.6    ROG Strix SCAR 15 G533ZM-A,79999000,
  16    ROG Strix G16 G614JV-N3075,79995000,
  17.3    ROG Strix G17 G713RM-KH071-R9 32GB 1SSD RTX 3060 -  ,79990000,
  16    ROG Zephyrus M16 GU603ZM-A,79830000,4
  15.6    ROG Strix SCAR 15 G533ZM-ES93 - i9 32GB 1SSD 3060 -  ,79299000,
  13.4    ROG FLOW X13 GV301RE-A,78990000,
  17.3    ROG Strix G17 G713RM-KH069W,78443220,
  15.6    TUF Gaming A15 FA507NV-TUF567NV-LP007-R7 32GB 1SSD RTX4060 -  ,77950000,
  15.6    ROG Strix SCAR 15 G533ZM-ES93-i9 32GB 512SSD RTX3060 -  ,77399000,
  17.3    TUF Gaming F17 FX707VV4-HX047-i7 32GB 1SSD RTX4060 -  ,77320000,
  15.6    ROG Strix SCAR 15 G533ZM-ES93 - i9 16GB 1SSD 3060 -  ,75699000,
  17.3    TUF Gaming A17 FA707RW-HX032-R7 32GB 1SSD RTX 3070 Ti -  ,75650000,
  15.6    Creator Q Q540VJ-I93050,74990000,
  17.3    TUF Gaming F17 FX707VV4-HX047-i7 16GB 1SSD RTX4060,74900000,
  17.3    TUF Gaming F17 FX707VV4-HX047-i7 16GB 1SSD RTX4060,74500000,
  16    ROG Strix G614JV-i7 16GB 512SSD RTX 4060,74500000,5
  15.6    ROG Strix Scar 15 G533ZM-HF066,73400000,5
  15.6    TUF Gaming F15 FX507ZM-RS73-i7 32GB 512SSD RTX 3060 -  ,73350000,
  15.6    ROG Strix SCAR 15 G533ZM-ES93-i9 16GB 512SSD RTX3060,73219000,3
  17.3   TUF Gaming A17 FA707RM-HX047 R7 32GB 1SSD RTX 3060- ,71650000,
  15.6    ROG Strix G15 G513RM-HQ116 - R7 32GB 1SSD RTX3060 -  ,71389500,
  15.6    TUF Gaming FX507ZV4-LP007W - i7 16GB 512SSD RTX4060,70560000,
  13.3    Zenbook S 13 OLED UX5304VA-NQ003,70500000,
  15.6    TUF DASH F15 FX517ZR-HN065,69400000,
  15.6    TUF Dash F15 FX517ZM - B,68900000,4.4
  15.6    TUF Gaming F15 FX507ZR-HN031,68400000,
  15.6    TUF Gaming A15 FA507NV-TUF567NV-LP007-R7 16GB 1SSD RTX4060,68099000,
  15.6    TUF Dash F15 FX517ZR-X -  ,67150000,1
  15.6    TUF Dash F15 FX517ZR-C -  ,65300000,5
  15.6    TUF Dash F15 FX517ZM-HN110 -i7 16GB 1SSD RTX3060 -  ,65000000,
  15.6    TUF Dash F15 FX517ZR-HN014W,65000000,
  17.3    TUF Gaming A17 FA707RW-HX032,66490000,
  15.6    VivoBook K6500ZC-MA330,64890000,4.2
  17.3    ROG Strix G713RM-KH070,64500000,3.7
  15.6    TUF Gaming F15 FX507ZM-RS73-i7 32GB 2SSD RTX 3060 -  ,64290000,
  15.6    TUF Dash F15 FX517ZM-HF210 i7 32GB 1SSD 3060 -  ,63199000,
  15.6    TUF Gaming F15 FX507ZM-RS73-i7 32GB 1HDD 512SSD RTX 3060 -  ,62990000,
  15.6    FX517ZR-F15.173070-B -  ,62550000,5
  15.6    TUF Gaming F15 FX507ZM-HN177,62500000,
  15.6    TUF Gaming F15 FX507ZM-RS73-i7 32GB 1SSD RTX3060 -  ,62290000,
  15.6    TUF Dash FX517ZC-HN063-B -  ,61000000,
  15.6    TUF Gaming A15 FA507RF-HN029 R7 32GB 1SSD RTX2050 -  ,61000000,
  15.6    FX517ZR-F15.173070-A -  ,60990000,4.2
  15.6    TUF Dash F15 FX517ZE-BS74,60800000,5
  15.6    Vivobook Pro 15 OLED K6500ZC-MA330-i7 16GB 1SSD RTX 3050,60750000,4.5
  14    ZenBook 14 Flip OLED UP5401EA-KN701,60270000,
  15.6    TUF Gaming A15 FA507RF-HN029 R7 32GB 512SSD RTX2050 -  ,60000000,
  15.6    TUF Dash F15 FX517ZC-HN123-i7 32GB 1SSD RTX3050 -  ,59950000,4
  14    ZenBook 14 OLED UX3402ZA-KM101W,59900000,
  15.6    ROG Strix G15 G513IE-HN060-AG,59900000,4.4
  15.6    TUF Dash F15 FX517ZM-HF210,59900000,4.2
  16    VivoBook Pro 16 OLED K6602ZE-MX081,59699000,
  15.6    TUF Dash FX517ZC-HN063-A -  ,59600000,
  15.6    TUF Dash F15 FX517ZM-HN158,59695000,
  15.6    K513EP-L1379,59500000,4
  15.6    TUF Dash F15 FX517ZM-HN110 -i7 16GB 512SSD RTX3060 -  ,59000000,
  15.6    TUF Gaming A15 FA507RF-HN029 R7 32GB 256SSD RTX2050 -  ,59000000,
  15.6    TUF Gaming A15 FA507RM-HN007W-R7 32GB 1SSD RTX3060 -  ,58999000,
