modul,price,score
  16  ‌  Spectre x360 2-in-1 16t-F1023dx,84990000,
  16.1  ‌  OMEN 16-B0001-i7 32GB 1TB 3070,61390000,5
  16.1  ‌  OMEN 16-B0001-i7 16GB 1TB 3070,59890000,
  16.1  ‌  OMEN 16-C0002DX-R7 32GB 2SSD RX6600M -  ,58650000,
  16.1  ‌   Victus 16-d1014ne-i7 32GB 1SSD RTX 3050 Ti -  ,57990000,
  15.6  ‌  Victus 15-FA1040NE-i7 16GB 1SSD RTX3050 -  ,57990000,
  16.1  ‌  Victus 16-d1004nw,57950000,
  16.1  ‌  OMEN 16-B0003-B,55990000,
  16.1  ‌   Victus 16-d1014ne-i7 24GB 1SSD RTX 3050 Ti -  ,55490000,
  16.1     Victus 16-D1015NE i7 24GB 1SSD RTX3050TI -  ,55190000,
  16.1  ‌  OMEN 16-B0003-A,53990000,
  16.1  ‌   Victus 16-d1014ne-i7 16GB 1SSD RTX 3050 Ti,53550000,
  16.1     Victus 16-D1015NE i7 16GB 1SSD RTX3050TI,53390000,4
  16.1  ‌   Victus 16-d1054ne,52300000,
  16.1  ‌   Victus 16-d1052ne - i7 16GB 512SSD RTX3050TI,52100000,
  16.1  ‌  OMEN 16-C0002DX-R7 32GB 1TB RX6600M,50890000,1
  15.6  ‌  Victus 15 FA1093DX-i5 32GB 2SSD RTX 3050 -  ,49190400,
  16.1  ‌  OMEN 16-C0002DX-R7 16GB 1TB RX6600M,48990000,4
  16.1  ‌  OMEN 16-c0011ne,48900000,4
  14  ‌  Pavilion x360 14t-EK000-i5 8GB 1TB Iris Xe,44490000,4.3
  15.6  ‌  Pavilion x360 15t-ER100-i5 8GB 1TB Iris Xe,44490000,5
  16.1     Victus 16-D1008NIA i5 32GB 1SSD GTX 1650 -  ,44170000,
  15.6  ‌  Pavilion x360 15t-ER100-i5 8GB 512GB Iris Xe,42990000,
  14  ‌  Pavilion x360 14t-EK000-i5 8GB 512SSD Iris Xe,42990000,5
  15.6  ‌  Victus 15-fa1033nia,42900000,
