modul,price,score
  16    Legion 7 Pro-i9 32GB 1SSD RTX 4080,174299000,5
  16    Legion 7 16IAX7-i9 32GB 1SSD RTX3080Ti,153220000,
  16    Legion 5 Pro 16IAH7H i9 32GB 2T RTX3070 -  ,137950000,
  16    Legion Pro 5 16IRX8-i7 16GB 1SSD RTX4070,97750000,
  16    Legion 5 Pro 16IAH7H i7 32 2T 8GB -  ,91500000,4
  16    Legion Pro 5 16IRX8 i7 16GB 1SSD RTX4060,81120000,
  16    Legion 5 Pro 16IAH7H-i7 32GB 2SSD RTX 3060 -  ,79950000,
  16    Legion 5 Pro 16IAH7H i7 32 1T 8GB -  ,79399000,
  16    Legion 5 Pro 16IAH7H-i7 32GB 1SSD RTX 3070,78900000,5
  15.6    Legion 5 15IAH7H i7 32 2 3070 8  ,78330000,
  16    Legion 5 Pro 16ARH7H-R7 32GB 2SSD RTX 3060 -  ,72950000,
  15.6    Legion 5 15IAH7H i7 32 1 3070 8  ,70730000,4
  16    Legion 5 Pro 16IAH7H-i7 32GB 1SSD RTX 3060,72499000,4.4
  16    Legion 5 Pro 16IAH7H-i7 16GB 1SSD RTX 3060 -  ,69699000,
  15.6    LOQ 15IRH8-i7 16GB 512SSD RTX4060,69400000,
  15.6    Legion 5 15IAH7H-i7 16G 1SSD RTX 3070,69000000,4
  17.3    Legion 5 17ITH6H-i7 32GB 1SSD RTX3060 -  ,68000000,
  15.6    Legion 5 15IAH7H i7 16 512 3070 8  ,66650000,
  15.6    LOQ 15IRH8-i7 8GB 512SSD RTX4050,66000000,
  15.6    LOQ 15IRH8-i7 32GB 2SSD RTX4050 -  ,65900000,
  15.6    Legion 5 15IAH7-i7 32GB 1SSD RTX3050Ti -  ,65650000,2
  16    Legion 5 Pro 16ARH7H-R7 32GB 1SSD RTX 3060,64899000,
  16    Legion 5 Pro 16ARH7H-R7 16GB 1SSD RTX 3060 -  ,64499000,
  15.6    LOQ 15IRH8-i7 16GB 2SSD RTX4050 -  ,61990000,
  15.6    Legion 5 15IAH7H-i7 16GB 1SSD RTX 3060,61200000,4.1
  15.6    Legion 5 15ARH7H-R7 32GB 1SSD RTX3060 -  ,61099000,5
  15.6    LOQ 15IRH8-i7 32GB 512SSD RTX4050 -  ,60500000,
  15.6    Legion 5-AAC,60290000,3.7
  15.6    Legion 5-AAB -  ,59890000,
  14    THINK PAD T14 GEN2-A,59500000,
  15.6    Legion 5 15ACH6H-R7 32GB 1SSD RTX 3070 -  ,59500000,
  16    Legion 5 Pro 16ITH6-i7 32GB 1SSD RTX 3050 Ti -  ,59400000,
  15.6    LOQ 15IRH8-i7 32GB 1SSD RTX4050 -  ,59000000,
  15.6    Legion 5 15ACH6H-R7 16GB 512SSD RTX 3070,58500000,
  15.6    LOQ 15IRH8-i7 16GB 1SSD RTX4050 -  ,57900000,5
  15.6    Legion 5 15ARH7H-R7 16GB 1SSD RTX3060 -  ,57899000,
  15.6    Legion 5 15ACH6H-R7 16GB 1SSD RTX 3070 -  ,57500000,
  16    Legion 5 Pro 16ITH6-i7 16GB 1SSD RTX 3050 Ti -  ,57300000,
  15.6    Legion 5 15ARH7H,56990000,5
  16    Legion 5 Pro 16ITH6-i7 16GB 512SSD RTX 3050 Ti,55900000,4.6
  15.6    LOQ 15IRH8-i7 16GB 512SSD RTX4050,53480000,
  15.6    IdeaPad Gaming 3-UA,50990000,5
  15.6    ThinkPad E15 Gen 4-i7 16GB 512GB MX550 -  ,50990000,
  15.6    IdeaPad Gaming 3 15IAH7-i7 32GB 2SSD RTX3050 -  ,49900000,
  15.6    IdeaPad Gaming 3 15IAH7-i7 16GB 512SSD RTX 3060,49500000,4.3
  15.6    IdeaPad Gaming 3 15IAH7-i7 16 512 305Ti,49250000,3.4
  15.6    Ideapad Gaming 3-i7 16GB 512GB 6GB,48950000,
  15.6    IdeaPad Gaming 3 15IAH7-i7 32GB 1SSD RTX3050 -  ,47999000,
  15.6    IdeaPad Gaming 3 15IAH7-i7 16GB 2SSD RTX3050 -  ,47990000,
  15.6    IdeaPad Gaming 3 15IAH7-i7 16GB 512SSD RTX3060,47990000,2
  15.6    IdeaPad Gaming 3 15IAH7-i7 16GB 1SSD RTX3060 -  ,47799000,
  15.6    ThinkPad E15 Gen 4-i7 8GB 512SSD MX550,46400000,
  15.6    IdeaPad Gaming 3-15IAH7-i7 16GB 512SSD RTX 3060,46100000,4
  15.6    IdeaPad Gaming 3 15IAH7-i7 16GB 1SSD RTX3050 -  ,45990000,
  15.6    IdeaPad Gaming 3 15IAH7-i7 16GB 512SSD 256SSD 3050Ti -  ,45900000,
  15.6    IdeaPad Gaming 3-U,45800000,3
  15.6    IdeaPad Gaming 3 15IAH7-i7 8GB 256SSD 3050Ti -  ,44590000,
  15.6    IdeaPad Gaming 3-15IAH7-i7 16G 1T 4G -  ,43700000,
  15.6    IdeaPad Gaming 3 15ACH6-X,42900000,3
  14    ThinkPad E14 Gen 4-i5 8GB 256SSD MX550,42700000,
  15.6    IdeaPad Gaming 3 15IAH7-i7 16GB 512SSD RTX3050,42100000,4
  15.6    IdeaPad Gaming 3 15IAH7-i7 16GB 512SSD RTX 3050,41700000,4.5
  15.6    ThinkPad E15 Gen 4-i5 16GB 512GB MX550 -  ,40990000,
  15.6    IdeaPad Gaming 3-GC,40950000,4
  14    IdeaPad Flex 5 14ITL05-i5 8GB 1SSD Iris Xe -  ,40700000,
  15.6    ThinkPad E15 Gen 4-i5 16GB 256GB MX550 -  ,40390000,
  15.6    ThinkPad E15 Gen 4-i5 8GB 512GB MX550 -  ,39499000,5
  14    IdeaPad Flex 5 14ITL05-i5 8GB 512SSD Iris Xe -  ,38900000,1
  15.6    ThinkPad E15 Gen 4-i5 8GB 256SSD MX550,38509000,
  15.6    ThinkBook 15 G2 ITL-i7 16GB 1T -  ,38500000,2
  15.6    IdeaPad 5 15IAL7-i7 16GB 1T MX550 -  ,38090000,4
  15.6    IdeaPad 5 15ITL05-i7 16GB 1TB 256GB MX450,37650000,3.7
  14    IdeaPad Flex 5 14ITL05-i5 8GB 256SSD Iris Xe,37500000,4
  15.6    IdeaPad 5 15IAL7-i7 16GB 512GB MX550,37200000,
  15.6    IdeaPad Gaming 3 15IHU6-i5 16GB 1SSD RTX3050Ti -  ,37199000,
  15.6    ThinkBook 15 G2 ITL-i7 16GB 512GB -  ,37000000,5
  15.6    IdeaPad Gaming 3-15IAH7-i5 16GB 512SSD RTX3050,36750000,3
  15.6    Thinkbook 15 G2 ITL - i7-C -  ,36500000,
  15.6    IdeaPad Gaming 3 15IAH7-i5 16GB 1T 4GB -  ,36590000,
