modul,price,score
  17      Raider GE78HX 13VH-i9 32GB 2SSD RTX4080,195900000,
  15.6      Raider GE67 HX 12UHS,187000000,
  17.3      Titan GT77 12UGS,173250000,
  17      Raider GE78HX 13VG-i9 32GB 2SSD RTX 4070,169000000,
  16      Summit E16Flip A13VFT i7 32GB 2SSD,125800000,
  17.3      Pulse GL76 12UGSZOK,98650000,
  15.6      Katana 15 B12VGK,82390000,
  13.4      Summit E13 Flip Evo A12MT,79900000,
  15.6      Katana 15 B13VFK,78930110,5
  15.6      GL66-12UGK,77900000,
  15.6      Stealth 15 A13VE,72900000,
  15.6      Katana 15 B12VEK,72650000,3
  15.6      Katana 15 B13VEK,72168000,
  15.6      Katana GF66 - 12UE,67900000,4
  15.6      Cyborg 15 A12VF,66700000,
  17.3      Katana GF76 12UDO,61900000,4.7
  15.6      Katana GF66 12UDO,59990000,
  15.6      Cyborg 15 A12VE-i7 16GB 512SSD RTX 4050,59850000,
  17.3      Katana GF76 - 12UD,58990000,
  15.6      Thin GF63 12VE-i7 16GB 512SSD RTX 4050,57900000,
  17.3      Sword 17 A12UCX-i5 8GB 512SSD RTX2050,49950000,
  15.6      Thin GF63 12VE-i5 8GB 512SSD RTX 4050,49270000,
  15.6      Modern 15 - A11MU- E,39990000,3.7
  15.6      Modern 15 B13M-i5 8GB 512SSD Iris Xe,35870000,5
  15.6      Modern 15 - B12M,34950000,
  15.6      GF6311SC-i5,33500000,4.4
  14      Modern 14 C7M-R5 16GB 512SSD Radeon,30900000,
  14      Modern 14 C13M-i3 8GB 512SSD UMA,27990000,5
